Created as New Dataset,
nm,A
900.0,0.0347
899.0,0.0348
898.0,0.0350
897.0,0.0355
896.0,0.0357
895.0,0.0360
894.0,0.0361
893.0,0.0363
892.0,0.0368
891.0,0.0374
890.0,0.0383
889.0,0.0395
888.0,0.0410
887.0,0.0429
886.0,0.0450
885.0,0.0472
884.0,0.0498
883.0,0.0527
882.0,0.0556
881.0,0.0589
880.0,0.0621
879.0,0.0641
878.0,0.0645
877.0,0.0634
876.0,0.0615
875.0,0.0592
874.0,0.0570
873.0,0.0546
872.0,0.0522
871.0,0.0497
870.0,0.0475
869.0,0.0456
868.0,0.0439
867.0,0.0424
866.0,0.0412
865.0,0.0401
864.0,0.0393
863.0,0.0386
862.0,0.0379
861.0,0.0373
860.0,0.0368
859.0,0.0364
858.0,0.0359
857.0,0.0356
856.0,0.0353
855.0,0.0350
854.0,0.0349
853.0,0.0348
852.0,0.0347
851.0,0.0345
850.0,0.0344
849.0,0.0343
848.0,0.0342
847.0,0.0341
846.0,0.0340
845.0,0.0340
844.0,0.0339
843.0,0.0339
842.0,0.0338
841.0,0.0338
840.0,0.0338
839.0,0.0338
838.0,0.0337
837.0,0.0337
836.0,0.0337
835.0,0.0337
834.0,0.0336
833.0,0.0338
832.0,0.0338
831.0,0.0338
830.0,0.0339
829.0,0.0338
828.0,0.0338
827.0,0.0339
826.0,0.0338
825.0,0.0339
824.0,0.0338
823.0,0.0339
822.0,0.0339
821.0,0.0339
820.0,0.0339
819.0,0.0338
818.0,0.0339
817.0,0.0338
816.0,0.0337
815.0,0.0337
814.0,0.0336
813.0,0.0337
812.0,0.0337
811.0,0.0337
810.0,0.0338
809.0,0.0337
808.0,0.0338
807.0,0.0339
806.0,0.0340
805.0,0.0340
804.0,0.0340
803.0,0.0340
802.0,0.0341
801.0,0.0341
800.0,0.0341
799.0,0.0340
798.0,0.0340
797.0,0.0339
796.0,0.0339
795.0,0.0340
794.0,0.0338
793.0,0.0338
792.0,0.0339
791.0,0.0339
790.0,0.0339
789.0,0.0339
788.0,0.0339
787.0,0.0339
786.0,0.0339
785.0,0.0339
784.0,0.0339
783.0,0.0338
782.0,0.0338
781.0,0.0338
780.0,0.0339
779.0,0.0339
778.0,0.0338
777.0,0.0339
776.0,0.0338
775.0,0.0339
774.0,0.0339
773.0,0.0339
772.0,0.0339
771.0,0.0338
770.0,0.0339
769.0,0.0339
768.0,0.0339
767.0,0.0339
766.0,0.0338
765.0,0.0339
764.0,0.0338
763.0,0.0339
762.0,0.0339
761.0,0.0338
760.0,0.0338
759.0,0.0339
758.0,0.0339
757.0,0.0339
756.0,0.0339
755.0,0.0339
754.0,0.0339
753.0,0.0339
752.0,0.0339
751.0,0.0339
750.0,0.0340
749.0,0.0340
748.0,0.0339
747.0,0.0339
746.0,0.0340
745.0,0.0339
744.0,0.0339
743.0,0.0340
742.0,0.0340
741.0,0.0340
740.0,0.0340
739.0,0.0339
738.0,0.0340
737.0,0.0340
736.0,0.0340
735.0,0.0340
734.0,0.0341
733.0,0.0340
732.0,0.0341
731.0,0.0341
730.0,0.0341
729.0,0.0341
728.0,0.0341
727.0,0.0341
726.0,0.0341
725.0,0.0342
724.0,0.0342
723.0,0.0342
722.0,0.0342
721.0,0.0343
720.0,0.0343
719.0,0.0343
718.0,0.0344
717.0,0.0345
716.0,0.0346
715.0,0.0348
714.0,0.0349
713.0,0.0352
712.0,0.0355
711.0,0.0359
710.0,0.0363
709.0,0.0367
708.0,0.0370
707.0,0.0371
706.0,0.0372
705.0,0.0371
704.0,0.0368
703.0,0.0365
702.0,0.0363
701.0,0.0360
700.0,0.0358
699.0,0.0356
698.0,0.0354
697.0,0.0353
696.0,0.0351
695.0,0.0351
694.0,0.0349
693.0,0.0348
692.0,0.0348
691.0,0.0347
690.0,0.0346
689.0,0.0346
688.0,0.0346
687.0,0.0346
686.0,0.0346
685.0,0.0346
684.0,0.0345
683.0,0.0346
682.0,0.0345
681.0,0.0345
680.0,0.0345
679.0,0.0346
678.0,0.0346
677.0,0.0346
676.0,0.0346
675.0,0.0346
674.0,0.0346
673.0,0.0346
672.0,0.0346
671.0,0.0346
670.0,0.0347
669.0,0.0346
668.0,0.0346
667.0,0.0347
666.0,0.0346
665.0,0.0346
664.0,0.0347
663.0,0.0347
662.0,0.0347
661.0,0.0347
660.0,0.0347
659.0,0.0347
658.0,0.0347
657.0,0.0347
656.0,0.0348
655.0,0.0348
654.0,0.0347
653.0,0.0348
652.0,0.0348
651.0,0.0348
650.0,0.0348
649.0,0.0348
648.0,0.0349
647.0,0.0349
646.0,0.0350
645.0,0.0350
644.0,0.0350
643.0,0.0350
642.0,0.0350
641.0,0.0349
640.0,0.0350
639.0,0.0350
638.0,0.0350
637.0,0.0350
636.0,0.0351
635.0,0.0351
634.0,0.0351
633.0,0.0351
632.0,0.0351
631.0,0.0351
630.0,0.0351
629.0,0.0352
628.0,0.0352
627.0,0.0352
626.0,0.0352
625.0,0.0352
624.0,0.0352
623.0,0.0353
622.0,0.0352
621.0,0.0353
620.0,0.0352
619.0,0.0352
618.0,0.0353
617.0,0.0353
616.0,0.0353
615.0,0.0354
614.0,0.0353
613.0,0.0354
612.0,0.0354
611.0,0.0354
610.0,0.0354
609.0,0.0354
608.0,0.0354
607.0,0.0354
606.0,0.0355
605.0,0.0355
604.0,0.0356
603.0,0.0356
602.0,0.0355
601.0,0.0357
600.0,0.0357
599.0,0.0358
598.0,0.0358
597.0,0.0359
596.0,0.0360
595.0,0.0362
594.0,0.0362
593.0,0.0363
592.0,0.0363
591.0,0.0364
590.0,0.0364
589.0,0.0364
588.0,0.0364
587.0,0.0365
586.0,0.0366
585.0,0.0366
584.0,0.0367
583.0,0.0368
582.0,0.0370
581.0,0.0371
580.0,0.0373
579.0,0.0375
578.0,0.0377
577.0,0.0379
576.0,0.0382
575.0,0.0385
574.0,0.0386
573.0,0.0387
572.0,0.0389
571.0,0.0390
570.0,0.0390
569.0,0.0390
568.0,0.0388
567.0,0.0386
566.0,0.0384
565.0,0.0382
564.0,0.0381
563.0,0.0379
562.0,0.0377
561.0,0.0376
560.0,0.0374
559.0,0.0373
558.0,0.0373
557.0,0.0372
556.0,0.0372
555.0,0.0372
554.0,0.0371
553.0,0.0371
552.0,0.0371
551.0,0.0371
550.0,0.0372
549.0,0.0372
548.0,0.0372
547.0,0.0373
546.0,0.0373
545.0,0.0374
544.0,0.0375
543.0,0.0375
542.0,0.0376
541.0,0.0377
540.0,0.0377
539.0,0.0378
538.0,0.0379
537.0,0.0380
536.0,0.0381
535.0,0.0382
534.0,0.0384
533.0,0.0384
532.0,0.0385
531.0,0.0387
530.0,0.0388
529.0,0.0389
528.0,0.0389
527.0,0.0390
526.0,0.0391
525.0,0.0392
524.0,0.0392
523.0,0.0393
522.0,0.0393
521.0,0.0394
520.0,0.0392
519.0,0.0393
518.0,0.0391
517.0,0.0391
516.0,0.0390
515.0,0.0389
514.0,0.0388
513.0,0.0388
512.0,0.0387
511.0,0.0387
510.0,0.0386
509.0,0.0385
508.0,0.0386
507.0,0.0385
506.0,0.0385
505.0,0.0385
504.0,0.0385
503.0,0.0386
502.0,0.0386
501.0,0.0386
500.0,0.0386
499.0,0.0386
498.0,0.0388
497.0,0.0388
496.0,0.0388
495.0,0.0389
494.0,0.0390
493.0,0.0390
492.0,0.0391
491.0,0.0391
490.0,0.0392
489.0,0.0393
488.0,0.0393
487.0,0.0394
486.0,0.0394
485.0,0.0394
484.0,0.0395
483.0,0.0395
482.0,0.0396
481.0,0.0396
480.0,0.0396
479.0,0.0396
478.0,0.0396
477.0,0.0396
476.0,0.0396
475.0,0.0396
474.0,0.0396
473.0,0.0395
472.0,0.0396
471.0,0.0396
470.0,0.0395
469.0,0.0396
468.0,0.0396
467.0,0.0395
466.0,0.0397
465.0,0.0396
464.0,0.0396
463.0,0.0397
462.0,0.0398
461.0,0.0398
460.0,0.0398
459.0,0.0399
458.0,0.0399
457.0,0.0400
456.0,0.0400
455.0,0.0401
454.0,0.0400
453.0,0.0401
452.0,0.0402
451.0,0.0403
450.0,0.0403
449.0,0.0403
448.0,0.0405
447.0,0.0404
446.0,0.0405
445.0,0.0405
444.0,0.0405
443.0,0.0406
442.0,0.0406
441.0,0.0407
440.0,0.0406
439.0,0.0407
438.0,0.0409
437.0,0.0409
436.0,0.0408
435.0,0.0408
434.0,0.0408
433.0,0.0408
432.0,0.0409
431.0,0.0410
430.0,0.0409
429.0,0.0410
428.0,0.0410
427.0,0.0411
426.0,0.0411
425.0,0.0411
424.0,0.0412
423.0,0.0413
422.0,0.0413
421.0,0.0413
420.0,0.0414
419.0,0.0414
418.0,0.0414
417.0,0.0414
416.0,0.0415
415.0,0.0415
414.0,0.0416
413.0,0.0417
412.0,0.0418
411.0,0.0417
410.0,0.0418
409.0,0.0419
408.0,0.0419
407.0,0.0421
406.0,0.0421
405.0,0.0422
404.0,0.0422
403.0,0.0422
402.0,0.0423
401.0,0.0423
400.0,0.0424
